source,target,value
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","UNNIM BANC, S.A",1
"NYESA VALORES CORPORACION, S.A.","ECHEGOYEN MORER, VALERO",1
"NYESA VALORES CORPORACION, S.A.","PERALTA GRACIA, JESUS MARIA",1
"NYESA VALORES CORPORACION, S.A.","PINEDO TORRES, CARLOS EDUARDO",1
"NYESA VALORES CORPORACION, S.A.","RIBERALIA SERVICIOS GENERALES, S.L.",1
"NYESA VALORES CORPORACION, S.A.","VALLEJO MONTERO, JUAN MANUEL",1
"UNION EUROPEA DE INVERSIONES, S.A.","FERREIRA DE AMORIN, AMERICO",2
"UNION EUROPEA DE INVERSIONES, S.A.","GUZMAN GONZALEZ, JOSE ANTONIO",1
"UNION EUROPEA DE INVERSIONES, S.A.","MARTINEZ-ECHEVARRIA Y GARCIA DE DUEÑAS, ALFONSO",1
"UNION EUROPEA DE INVERSIONES, S.A.","MONTUENGA BADIA, JOSE MARIA",1
"UNION EUROPEA DE INVERSIONES, S.A.","NIGORRA COBIAN, LUIS",1
"UNION EUROPEA DE INVERSIONES, S.A.","PEREZ JAIME, VICENTE JOSE",1
"GRUPO CATALANA OCCIDENTE, S.A.","ALVAREZ JUSTE, JOSE IGNACIO",1
"GRUPO CATALANA OCCIDENTE, S.A.","ARREGUI LABORDA, FRANCISCO JOSE",1
"GRUPO CATALANA OCCIDENTE, S.A.","BACH PORTABELLA, MARIANO",1
"GRUPO CATALANA OCCIDENTE, S.A.","COTYP, S.L.",1
"GRUPO CATALANA OCCIDENTE, S.A.","ENRICH IZARD, JORGE",1
"GRUPO CATALANA OCCIDENTE, S.A.","ENRICH SERRA, JORGE",1
"GRUPO CATALANA OCCIDENTE, S.A.","GUERRERO GILABERT, JUAN IGNACIO",1
"GRUPO CATALANA OCCIDENTE, S.A.","HALPERN BLASCO, FEDERICO",1
"GRUPO CATALANA OCCIDENTE, S.A.","INVERSIONES GIRO GODO, S.L., S.U.",1
"GRUPO CATALANA OCCIDENTE, S.A.","JS INVEST, S.L.",1
"GRUPO CATALANA OCCIDENTE, S.A.","JUSAL, S.L.",1
"GRUPO CATALANA OCCIDENTE, S.A.","LACANUDA CONSELL, S.L.",1
"GRUPO CATALANA OCCIDENTE, S.A.","NEWSERCAL, S.L.",1
"GRUPO CATALANA OCCIDENTE, S.A.","OLANDOR, S.L.",1
"GRUPO CATALANA OCCIDENTE, S.A.","SERRA FARRE, JOSE MARIA",2
"GRUPO CATALANA OCCIDENTE, S.A.","SOLER SERRA, MARIA ASSUMPTA",1
"GRUPO CATALANA OCCIDENTE, S.A.","VILLASA, S.L.",1
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","ARRAEZ BERTOLIN, IGNACIO JOSE",1
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","NEGRA BATLLE, ALBERTO LUIS",1
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","NEGRA BATLLE, ANTONIO",1
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","SALAS PRADA, DIEGO",1
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","SIERRA GARCIA, ANTONIO",1
"ABERTIS INFRAESTRUCTURAS, S.A.","ALEMANY MAS, SALVADOR",1
"ABERTIS INFRAESTRUCTURAS, S.A.","ARMENTER VIDAL, MARCELINO",1
"ABERTIS INFRAESTRUCTURAS, S.A.","COLOMER CASELLAS, CARLOS",3
"ABERTIS INFRAESTRUCTURAS, S.A.","FAINE CASAS, ISIDRO",4
"ABERTIS INFRAESTRUCTURAS, S.A.","FORNESA RIBO, RICARDO",1
"ABERTIS INFRAESTRUCTURAS, S.A.","G3T, S.L.",2
"ABERTIS INFRAESTRUCTURAS, S.A.","GUTIERREZ MENDEZ, MIGUEL ANGEL",1
"ABERTIS INFRAESTRUCTURAS, S.A.","OBRASCON HUARTE LAIN, S.A.",1
"ABERTIS INFRAESTRUCTURAS, S.A.","OHL CONCESIONES S.L.",1
"ABERTIS INFRAESTRUCTURAS, S.A.","OHL EMISIONES, S.A. UNIPERSONAL",1
"ABERTIS INFRAESTRUCTURAS, S.A.","PABLIS 21, S.L.",1
"ABERTIS INFRAESTRUCTURAS, S.A.","REYNES MASSANET, FRANCISCO",1
"ABERTIS INFRAESTRUCTURAS, S.A.","THEATRE DIRECTORSHIP SERVICES ALPHA S.A.R.L.",1
"ABERTIS INFRAESTRUCTURAS, S.A.","THEATRE DIRECTORSHIP SERVICES BETA S.A.R.L.",1
"ABERTIS INFRAESTRUCTURAS, S.A.","THEATRE DIRECTORSHIP SERVICES GAMA, S.A.R.L.",1
"INDO INTERNACIONAL, S.A.","BADIA ALMIRALL, LUIS",1
"INDO INTERNACIONAL, S.A.","COBAIN MERCADO, S.L.",1
"INDO INTERNACIONAL, S.A.","COHERMA MERCADO, S.L.",1
"INDO INTERNACIONAL, S.A.","DOMASA INVERSIONES, S.L.",1
"INDO INTERNACIONAL, S.A.","MAS SUMALLA, RAMON",1
"INDO INTERNACIONAL, S.A.","SABRIA PITARCH, JUAN",1
"DOGI INTERNATIONAL FABRICS, S.A.","DOMENECH ALVARO, EDUARDO",1
"DOGI INTERNATIONAL FABRICS, S.A.","DOMENECH ALVARO, SERGIO",1
"DOGI INTERNATIONAL FABRICS, S.A.","DOMENECH GIMENEZ, JOSEP",1
"DOGI INTERNATIONAL FABRICS, S.A.","FIATC MUTUA DE SEGUROS Y DE REASEGUROS A PRIMA FIJA",2
"DOGI INTERNATIONAL FABRICS, S.A.","FRANQUES RIBERA, CARLOS",1
"DOGI INTERNATIONAL FABRICS, S.A.","LOS CLASICOS Z, S.L.",1
"DOGI INTERNATIONAL FABRICS, S.A.","TORRAS TORRAS, JORGE",1
"MOBILIARIA MONESA, S.A.","CAHISPA, S.A. DE SEGUROS DE VIDA",1
"MOBILIARIA MONESA, S.A.","CELLA RAYMOND, JUAN ERNESTO",1
"MOBILIARIA MONESA, S.A.","FERRAN CALDERO, CARLOS",1
